Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
11, Aceh ,Beras SPHP,2025,Maret,"Rp12,768"
12, Sumatera Utara ,Beras SPHP,2025,Maret,"Rp12,841"
13, Sumatera Barat ,Beras SPHP,2025,Maret,"Rp12,935"
14, Riau ,Beras SPHP,2025,Maret,"Rp13,004"
15, Jambi ,Beras SPHP,2025,Maret,"Rp12,673"
16, Sumatera Selatan ,Beras SPHP,2025,Maret,"Rp12,458"
17, Bengkulu ,Beras SPHP,2025,Maret,"Rp12,491"
18, Lampung ,Beras SPHP,2025,Maret,"Rp12,326"
19, Kepulauan Bangka Belitung ,Beras SPHP,2025,Maret,"Rp12,626"
21, Kepulauan Riau ,Beras SPHP,2025,Maret,"Rp12,644"
31, DKI Jakarta ,Beras SPHP,2025,Maret,"Rp12,000"
32, Jawa Barat ,Beras SPHP,2025,Maret,"Rp12,405"
33, Jawa Tengah ,Beras SPHP,2025,Maret,"Rp12,355"
34, D.I Yogyakarta ,Beras SPHP,2025,Maret,"Rp12,360"
35, Jawa Timur ,Beras SPHP,2025,Maret,"Rp12,039"
36, Banten ,Beras SPHP,2025,Maret,"Rp12,317"
51, Bali ,Beras SPHP,2025,Maret,"Rp11,975"
52, Nusa Tenggara Barat ,Beras SPHP,2025,Maret,"Rp12,083"
53, Nusa Tenggara Timur ,Beras SPHP,2025,Maret,"Rp12,973"
61, Kalimantan Barat ,Beras SPHP,2025,Maret,"Rp12,993"
62, Kalimantan Tengah ,Beras SPHP,2025,Maret,"Rp12,839"
63, Kalimantan Selatan ,Beras SPHP,2025,Maret,"Rp12,821"
64, Kalimantan Timur ,Beras SPHP,2025,Maret,"Rp12,892"
65, Kalimantan Utara ,Beras SPHP,2025,Maret,"Rp13,002"
71, Sulawesi Utara ,Beras SPHP,2025,Maret,"Rp12,326"
72, Sulawesi Tengah ,Beras SPHP,2025,Maret,"Rp12,398"
73, Sulawesi Selatan ,Beras SPHP,2025,Maret,"Rp12,221"
74, Sulawesi Tenggara ,Beras SPHP,2025,Maret,"Rp12,275"
75, Gorontalo ,Beras SPHP,2025,Maret,"Rp12,437"
76, Sulawesi Barat ,Beras SPHP,2025,Maret,"Rp12,132"
81, Maluku ,Beras SPHP,2025,Maret,"Rp13,353"
82, Maluku Utara ,Beras SPHP,2025,Maret,"Rp13,310"
91, Papua ,Beras SPHP,2025,Maret,"Rp13,767"
92, Papua Barat ,Beras SPHP,2025,Maret,"Rp13,500"
93, Papua Selatan ,Beras SPHP,2025,Maret,-
94, Papua Tengah ,Beras SPHP,2025,Maret,-
95, Papua Pegunungan ,Beras SPHP,2025,Maret,-
96, Papua Barat Daya ,Beras SPHP,2025,Maret,"Rp13,149"
11, Aceh ,Beras Premium,2025,Maret,"Rp14,615"
12, Sumatera Utara ,Beras Premium,2025,Maret,"Rp15,481"
13, Sumatera Barat ,Beras Premium,2025,Maret,"Rp17,174"
14, Riau ,Beras Premium,2025,Maret,"Rp16,220"
15, Jambi ,Beras Premium,2025,Maret,"Rp15,069"
16, Sumatera Selatan ,Beras Premium,2025,Maret,"Rp14,176"
17, Bengkulu ,Beras Premium,2025,Maret,"Rp15,293"
